English,Myanmar
hurt,ထိခိုက်
wish,ဆန္ဒ
moment,ခဏ
fight,တိုက်ပွဲ
week,တစ်ပတ်
husband,ခင်ပွန်း
girls,မိန်းကလေးများ
rest,အနားယူပါ။
married,အိမ်ထောင်သည်
fire,မီး
game,ဂိမ်း
nobody,ဘယ်သူမှ
children,ကလေးတွေ
side,ဖွတ်
stand,ရပ်ပါ။
read,ဖတ်ပါ။
though,သို့သော်လည်း
cut,ဖြတ်
started,စတင်ခဲ့သည်။
sister,ညီမ
supposed,ယူဆသည်။
between,အကြား
child,ကလေး
goes,သွား
hours,နာရီ
speak,စကားပြောပါ။
women,အမျိုးသမီးများ
behind,နောက်ကွယ်
almost,နီးပါး
truth,အမှန်တရား
blood,သွေး
able,နိုင်
lady,မိန်းမ
anymore,မဟုတ်တော့ဘူး။
playing,ကစားခြင်း။
gets,ရရှိသည်။
shot,ရိုက်ချက်
reason,အကြောင်းပြချက်
trouble,ဒုက္ခ
break,ချိုး
war,စစ်ပွဲ
city,မြို့
walk,လမ်းလျှောက်
town,မြို့
trust,ယုံကြည်မှု
dr.,ဒေါက်တာ
met,တွေ့ဆုံခဲ့သည်။
office,ရုံး
question,မေးခွန်း
brought,ယူဆောင်လာသည်။
yours,မင်းအတွက်
welcome,ကြိုဆိုပါတယ်။
high,မြင့်မားသော
wow,အလို
couple,စုံတွဲ
half,တစ်ဝက်
died,ကွယ်လွန်
cool,အေးတယ်။
free,အခမဲ့
either,ဖြစ်ဖြစ်၊
seems,ထင်ရသည်။
power,ပါဝါ
whoa,ဟယ်
bye,နှုတ်ဆက်ပါတယ်။
buy,ဝယ်
telling,ပြောခြင်း။
honey,ပျားရည်
tried,ကြိုးစားခဲ့သည်။
front,ရှေ့
team,အဖွဲ့
answer,ဖြေ
gun,သေနတ်
boys,ယောက်ျားလေးတွေ
line,လိုင်း
send,ပို့ပါ။
news,သတင်း
stupid,ငတုံး
bed,အိပ်ရာ
hurry,မြန်မြန်
full,အပြည့်
months,လ
save,ကယ်တင်ပါ။
sometimes,တစ်ခါတစ်ရံ
become,ဖြစ်လာ
along,တစ်လျှောက်
hate,မုန်းသည်။
food,အစားအသောက်
outside,အပြင်မှာ
light,အလင်း
l,ဌ
needs,လိုအပ်ချက်များ
dog,ခွေး
country,နိုင်ငံ
clear,ရှင်းပါတယ်။
order,အမိန့်
fact,အဟီး
lord,သခင်
captain,ကပ္ပတိန်
six,ခြောက်
hot,ပူတယ်။
funny,ရယ်စရာ
black,အနက်ရောင်
mrs.,ဆရာမ
alive,အသက်ရှင်လျက်
pick,ကောက်
feeling,ခံစားချက်
living,နေထိုင်ခြင်း။
cause,အကြောင်းရင်း
ahead,ရှေ့သို့
lose,ရှုံး
king,ဘုရင်
plan,အစီအစဉ်
dinner,ညစာ
sighs,သက်ပြင်းချသည်။
sort,အမျိုးအစား
leaving,ထွက်ခွာ
shouldn,မသင့်
running,ပြေး
boss,သူဌေး
alright,ကောင်းပြီ
promise,ကတိပေးသည်။
taken,ယူထားသည်။
safe,ဘေးကင်းသည်။
ma,မေ
book,စာအုပ်
sent,ပေးပို့ခဲ့သည်။
white,အဖြူ
hour,နာရီ
anybody,ဘယ်သူ့ကိုမှ
small,သေးငယ်သည်။
perfect,ပြီးပြည့်စုံသော
cause,အကြောင်းရင်း
lives,အသက်တွေ
special,အထူး
parents,မိဘများ
s,၎
john,ဂျွန်
himself,သူ့ကိုယ်သူ
perhaps,ဖြစ်ကောင်းဖြစ်နိုင်သည်။
sounds,အသံများ
serious,လေးနက်သည်။
sick,နေမကောင်း
company,ကုမ္ပဏီ
ha,ဟက်
scared,ကြောက်တယ်။
uncle,ဦးလေး
poor,ဆင်းရဲ
red,အနီရောင်
past,အတိတ်
earth,မြေကြီး
possible,ဖြစ်နိုင်သည်။
shoot,ပစ်
touch,ထိပါ။
sound,အသံ
top,ထိပ်တန်း
ass,မြည်း
laughs,ရယ်သည်။
cannot,မရနိုင်ပါ။
asking,မေးပါတယ်။
win,အနိုင်ရ
glad,ဝမ်းသာပါတယ်။
control,ထိန်းချုပ်မှု
hmm,ဟမ်
human,လူသား
drive,မောင်း
hair,ဆံပင်
jack,ဂျိုက်
bitch,ခွေးမ
luck,ကံတရား
murder,လူသတ်မှု
happens,ဖြစ်ပျက်
air,လေ
ten,ဆယ်
daddy,ဖေဖေ
finally,နောက်ဆုံးတော့
chuckles,ရယ်မောသည်။
fast,မြန်သည်။
cold,အေး
seem,ဘုန်းဘုန်း
laughing,ရယ်မော
words,စကားလုံးများ
hospital,ဆေးရုံ
street,လမ်း
hang,ဆွဲထား
dance,ကခုန်သည်။
meeting,အစည်းအဝေး
till,တိုင်အောင်
others,အခြားသူများ
catch,ဖမ်း
follow,လိုက်နာပါ။
sense,သဘော
sex,လိင်
lie,လိမ်သည်။
evening,ညနေ
master,သခင်
known,လူသိများသည်။
dream,အိပ်မက်
write,ရေးပါ။
million,သန်း
voice,အသံ
sweet,ချိုတယ်။
rather,ပြေတယ်။
felt,ခံစားခဲ့ရသည်။
sign,လက္ခဏာ
lucky,ကံကောင်း
somewhere,တစ်နေရာရာမှာ
bet,အလောင်းအစား
jesus,ယေရှု
longer,ကြာကြာ
calling,ခေါ်ဆိုခြင်း။
worked,အလုပ်လုပ်ခဲ့သည်။
quiet,တိတ်ဆိတ်
looked,ကြည့်လိုက်တယ်။
less,နည်းသော
pull,ဆွဲပါ
beat,ရိုက်တယ်။
careful,သတိထားပါ။
coffee,ကော်ဖီ
return,ပြန်လာ
secret,လျှို့ဝှက်ချက်
weeks,ရက်သတ္တပတ်
date,ရက်စွဲ
seeing,မြင်သည်။
fall,ကြွေကျ
given,ပေးသည်
ooh,အိုး
fault,အမှား
straight,တည့်တည့်
takes,ယူတယ်။
song,သီချင်း
future,အနာဂတ်
gentlemen,လူကြီးလူကောင်း
loved,ချစ်တယ်။
changed,ပြောင်းလဲခဲ့သည်။
road,လမ်း
calm,အေးဆေး
wonderful,အံ့သြဖွယ်
mad,အရူး
turned,လှည့်
drop,တစ်စက်
ladies,မင်းသမီး
learn,လေ့လာပါ။
step,ခြေလှမ်း
absolutely,လုံးဝ
early,စောစော
explain,ရှင်းပြပါ။
clean,သန့်ရှင်း
piece,အပိုင်းအစ
yesterday,မနေ့က
throw,ပစ်
picture,ပုံ
land,မြေ
feet,ခြေ
wonder,အံ့ဩစရာ
questions,မေးခွန်းများ
speaking,ပြောရမယ်ဆိုရင်
worth,တန်ဖိုးရှိ
darling,ချစ်လေး
dude,သူငယ်ချင်း
giving,ပေးကမ်းခြင်း။
president,သမ္မတ
eye,မျက်စိ
quick,အမြန်
moving,ရွေ့လျား
figure,ပုံ
state,ပြည်နယ်
strong,ခိုင်မာတယ်။
none,မရှိ
amazing,အံ့သြဖွယ်
ones,မထင်ပါနဲ့။
works,အလုပ်လုပ်တယ်။
act,ပြုမူ
needed,လိုအပ်သည်။
weird,ထူးဆန်းတယ်။
law,ဥပဒေ
worried,စိုးရိမ်သည်။
report,အစီရင်ခံစာ
goodbye,သွားတော့မယ်
missing,ပျောက်ဆုံး
choice,ရွေးချယ်မှု
happening,ဖြစ်ပျက်
chief,အကြီးအကဲ
wedding,မင်္ဂလာဆောင်
strange,ထူးဆန်းသည်။
general,အထွေထွေ
pain,နာကျင်မှု
am,ငါ
kidding,နောက်တာပါ
decided,ဆုံးဖြတ်ခဲ့သည်။
ya,ဟုတ်တယ်
pass,ဖြတ်သန်းပါ။
tired,ပင်ပန်းသည်။
class,အတန်း
officer,အရာရှိ
kept,သိမ်းဆည်းထားသည်။
wake,နိုး
worse,ပိုဆိုးတယ်။
busy,အလုပ်ရှုပ်သည်
eh,ဟုတ်တယ်
mistake,အမှား
kiss,နမ်း
court,တရားရုံး
building,အဆောက်အဦ
finish,ပြီးအောင်
during,ကာလအတွင်း
age,အသက်
ship,သင်္ဘော
caught,ဖမ်းမိ
marry,လက်ထပ်ပါ။
meant,ဆိုလိုသည်။
sell,ရောင်း
dark,အမှောင်
watching,စောင့်ကြည့်နေသည်။
system,စနစ်
suppose,ဆိုပါစို့
evidence,အထောက်အထား
movie,ရုပ်ရှင်
ride,စီး
completely,လုံးဝ
mouth,ပါးစပ်
totally,လုံးဝ
birthday,မွေးနေ့
tv,တီဗီ
forgive,ခွင့်လွှတ်ပါ။
born,မွေး
imagine,စိတ်ကူးပါ။
information,အချက်အလက်
instead,အစား
definitely,ကျိန်းသေ
security,လုံခြုံရေး
certainly,သေချာတယ်။
film,ရုပ်ရှင်
month,လ
lying,လဲလျောင်း၊
unless,မဟုတ်လျှင်
train,ရထား
seven,ခုနှစ်
wear,ဝတ်ဆင်
clothes,အဝတ်
michael,မိုက်ကယ်
hotel,ဟိုတယ်
christmas,ခရစ္စမတ်
attack,တိုက်ခိုက်မှု
round,ပတ်ပတ်လည်
expect,မျှော်လင့်
sing,သီချင်းဆို
terrible,ကြောက်မက်ဖွယ်ကောင်းသော
george,ဂျော့ခ်ျ
bag,အိတ်
history,သမိုင်း
blue,အပြာ
near,အနီး
broke,ပျက်သွားသည်
station,ဘူတာရုံ
seriously,အလေးအနက်ထား
forever,ထာဝရ
david,ဒေးဗစ်
frank,ပွင့်ပွင့်လင်းလင်း
except,မှလွဲ၍
thinks,ထင်သည်။
message,သတင်းစကား
entire,တစ်ခုလုံး
joe,ဂျိုး
table,စားပွဲ
talked,စကားပြောတယ်။
across,ဖြတ်ပြီး
rock,ရော့ခ်
lovely,ချစ်စရာကောင်းတဲ့
handle,ကိုင်တွယ်
middle,အလယ်
buddy,သူငယ်ချင်း
paid,ပေးဆပ်ခဲ့သည်။
protect,ကာကွယ်ပါ။
using,သုံးပြီး
floor,ကြမ်းပြင်
ran,ပြေး
swear,ကျိန်ဆိုသည်
spend,ဖြုန်း
situation,အခြေအနေ
ring,လက်စွပ်
anywhere,ဘယ်နေရာမဆို
dangerous,အန္တရာယ်ရှိသည်။
bill,ဘေလ်
york,ယော့ခ်
army,စစ်တပ်
lead,ခဲ
bought,ဝယ်သည်။
finished,ပြီးပြီ။
fair,တရားမျှတသော
sun,နေ
letter,စာ
fool,လူမိုက်
attention,အာရုံစူးစိုက်မှု
club,ကလပ်
simple,ရိုးရှင်းသော
interesting,စိတ်ဝင်စားစရာ
space,အာကာသ
test,စမ်းသပ်
box,သေတ္တာ
group,အဖွဲ့
single,တစ်ခုတည်း
sitting,ထိုင်သည်။
marriage,အိမ်ထောင်ရေး
join,ပူးပေါင်းပါ။
fear,ကြောက်ရွံ့ခြင်း။
d,ဃ
peace,ငြိမ်းချမ်းရေး
forgot,မေ့သွားတယ်။
force,အင်အား
short,တိုတို
normal,ပုံမှန်
charlie,ချာလီ
present,ပစ္စုပ္ပန်
enjoy,ပျော်ပျော်ပါးပါး
mike,မိုက်
crime,ရာဇဝတ်မှု
horse,မြင်း
ground,မြေ
american,အမေရိကန်
count,ရေတွက်
area,ဧရိယာ
charge,တာဝန်ခံ
honor,ဂုဏ်
lunch,နေ့လယ်စာ
miles,မိုင်
radio,ရေဒီယို
idiot,လူမိုက်
ball,ဘောလုံး
surprise,အံ့သြစရာ
paper,စာရွက်
key,သော့
boat,လှေ
quickly,မြန်မြန်
gold,ရွှေ
bar,ဘား
fish,ငါး
mark,အမှတ်အသား
tom,တွမ်
wearing,ဝတ်ထားသည်။
crying,ငိုတယ်။
accident,မတော်တဆ
government,အစိုးရ
eight,ရှစ်
fell,ကျသွားတယ်။
cover,ကာဗာ
certain,သေချာပါတယ်။
interested,စိတ်ဝင်စား
deep,နက်နဲသည်။
star,ကြယ်ပွင့်
sea,ပင်လယ်
agree,သဘောတူသည်။
problems,ပြဿနာများ
detective,စုံထောက်
prison,ထောင်
major,အဓိက
stick,တုတ်
offer,ကမ်းလှမ်း
difficult,ခက်တယ်။
smart,စမတ်
personal,ကိုယ်ရေးကိုယ်တာ
record,မှတ်တမ်း
stopped,ရပ်သွားတယ်။
hide,ပုန်း
whether,ရှိမရှိ၊
bank,ဘဏ်
trip,ခရီး
relax,သက်တောင့်သက်သာနေပါ
america,အမေရိက
public,အများသူငှာ
list,စာရင်း
afternoon,နေ့ခင်း
brain,ဦးနှောက်
fix,ပြင်ဆင်ပါ။
bastard,ခွေးကောင်
proud,ဂုဏ်ယူတယ်။
tea,လက်ဖက်ရည်
service,ဝန်ဆောင်မှု
screaming,အော်ဟစ်
forward,ရှေ့သို့
angry,စိတ်ဆိုး
park,ပန်းခြံ
soul,ဝိညာဉ်
fighting,တိုက်ပွဲ
peter,ပီ
rich,ချမ်းသာ
agent,အေးဂျင့်
blow,မှုတ်
paul,ပေါလု
dress,အဝတ်အစား
mary,မေရီ
missed,လွတ်သွားတယ်။
scene,မြင်ကွင်း
killing,သတ်ဖြတ်ခြင်း
standing,ရပ်နေသည်။
saved,သိမ်းဆည်းခဲ့သည်။
mm,မီလီမီတာ
respect,လေးစားပါတယ်။
killer,လူသတ်သမား
ice,ရေခဲ
mess,စိတ်ညစ်
tough,ခက်တယ်။
feels,ခံစားရသည်
church,ဘုရားကျောင်း
sad,ဝမ်းနည်း
cell,ဆဲလ်
drunk,မူး
share,မျှဝေပါ။
camera,ကင်မရာ
mm-hmm,ဟမ်
within,အတွင်း
card,ကတ်
fly,ပျံသန်း
ben,ဘင်
girlfriend,ချစ်သူရည်းစား
laugh,ရယ်ပါ။
smell,အနံ့
broken,ကျိုး
mum,အမေ
honest,ရိုးရိုးသားသား
often,မကြာခဏ
starting,စတင်သည်။
calls,ခေါ်ဆိုမှုများ
spent,သုံးစွဲခဲ့သည်။
third,တတိယ
english,အင်္ဂလိပ်
visit,အလည်အပတ်
mama,အမေ
judge,တရားသူကြီး
window,ပြတင်းပေါက်
hungry,ဗိုက်ဆာတယ်။
dare,ရဲရဲ
relationship,ဆက်ဆံရေး
moved,ပြောင်းရွှေ့
prove,သက်သေပြ
private,သီးသန့်
wall,နံရံ
seat,ထိုင်ခုံ
position,ရာထူး
lieutenant,ဒုဗိုလ်
realize,သဘောပေါက်
lt,အဲဒါ
especially,အထူးသဖြင့်
machine,စက်
walking,လမ်းလျှောက်
art,အနုပညာ
pleasure,ပျော်ရွှင်မှု
bloody,သွေးထွက်သံယို
college,ကောလိပ်
french,ပြင်သစ်
involved,ပါဝင်ပါတယ်။
cry,ငိုပါ။
became,ဖြစ်လာတယ်။
lived,နေထိုင်ခဲ့သည်။
impossible,မဖြစ်နိုင်ဘူး။
obviously,သိသာသည်။
neither,မဟုတ်ပါ
accept,လက်ခံ
boyfriend,ချစ်သူ
besides,မှတပါး
queen,မိဖုရား
teacher,ဆရာမ
cops,ရဲ
sake,ဆာကေး
loves,ချစ်တယ်။
carry,သယ်
teach,သင်ပေးပါ။
apartment,တိုက်ခန်း
upset,စိတ်မကောင်းဖြစ်သည်
green,အစိမ်းရောင်
liked,ကြိုက်တယ်။
cute,ချစ်စရာ
evil,မကောင်းမှု
professor,ပါမောက္ခ
contact,ဆက်သွယ်ရန်
joke,ဟာသ
cop,ရဲ
huge,ဧရာ
holy,သန့်ရှင်းသော
store,စတိုးဆိုင်
jail,ထောင်
likes,ကြိုက်တယ်။
lawyer,ရှေ့နေ
doubt,သံသယ
continue,ဆက်ရန်
appreciate,တန်ဖိုးထား
cat,ကြောင်
shop,ဆိုင်
driving,ကားမောင်း
congratulations,ဂုဏ်ယူပါတယ်။
wrote,ရေးသားခဲ့သည်။
village,ရွာ
quit,အလုပ်ထွက်
field,လယ်ကွင်း
james,ဂျိမ်း
wine,ဝိုင်
decision,ဆုံးဖြတ်ချက်
south,တောင်ဘက်
sleeping,အိပ်
slow,နှေးတယ်။
laughter,ရယ်မောခြင်း။
island,ကျွန်း
glass,ဖန်
beginning,အစ
cash,ငွေသား
dying,သေခြင်း။
hundred,ရာ့
whose,ဘယ်သူလဲ။
difference,ကွာခြားချက်
plane,လေယာဉ်
push,တွန်း
continues,ဆက်သည်။
singing,သီချင်းဆိုခြင်း။
eating,စားသောက်ခြင်း။
north,မြောက်ဘက်
mrs,ဆရာမ
tree,သစ်ပင်
madam,မဒမ်
gift,လက်ဆောင်
truck,ထရပ်ကား
putting,ချပြီး
bear,ဝံ
board,ဘုတ်အဖွဲ့
grab,ဖမ်း
beer,ဘီယာ
stuck,ပိတ်မိ
magic,မှော်
support,ထောက်ခံမှု
rules,စည်းကမ်း
grunts,အော်ဟစ်သည်။
partner,အဖော်
reach,လက်လှမ်းမီ
wind,လေ
colonel,ဗိုလ်မှူးကြီး
max,အများဆုံး
immediately,ချက်ချင်း
seconds,စက္ကန့်
thousand,တစ်ထောင်
gives,ပေးသည်။
experience,အတွေ့အကြုံ
cheers,ပျော်ရွှင်ပါစေ။
victim,သားကောင်
upon,အပေါ်သို့
computer,ကွန်ပျူတာ
christ,ခရစ်တော်
planet,ဂြိုလ်
promised,ကတိပြုသည်။
bus,ဘတ်စ်ကား
henry,ဟင်နရီ
dirty,ညစ်ပတ်တယ်။
search,ရှာဖွေ
staying,နေနေ
dreams,အိပ်မက်များ
arrest,ဖမ်းဆီးခြင်း
holding,ကိုင်
suddenly,ရုတ်တရက်
usually,များသောအားဖြင့်
lots,အများကြီး
shoes,ဖိနပ်
jump,ခုန်
rid,ပစ်ပယ်
yo,မင်း
knock,ခေါက်
owe,ပေးမယ်။
harry,ဟယ်ရီ
grow,ကြီးထွား
worst,အဆိုးဆုံး
river,မြစ်
aunt,အဒေါ်
patient,လူနာ
kitchen,မီးဖိုချောင်
fat,အဆီ
passed,လွန်
m,ဍ
final,နောက်ဆုံး
summer,နွေရာသီ
bob,ဘော့
listening,နားထောင်ခြင်း။
escape,လွတ်မြောက်
everywhere,နေရာတိုင်း
moon,လ
arms,လက်နက်များ
turns,အလှည့်
address,လိပ်စာ
ow,အိုး
match,တစ်ပွဲ
gasps,ဟောဟဲ
grand,ညား
yep,ဟုတ်တယ်
nervous,အာရုံကြော
choose,ရွေးချယ်ပါ။
themselves,သူတို့ကိုယ်သူတို့
decide,ဆုံးဖြတ်ပါ။
mate,အိမ်ထောင်ဖက်
drinking,သောက်
press,စာနယ်ဇင်း
bother,အနှောက်အယှက်
foot,ခြေ
blame,အပြစ်တင်
crap,အမိုက်စား
drugs,မူးယစ်ဆေးဝါး
type,အမျိုးအစား
rings,ကွင်း
mission,သာသနာ
named,အမည်ရှိ
heaven,ကောင်းကင်
picked,ခူး
paris,ပါရီ
race,လူမျိုးရေး၊
risk,အန္တရာယ်
books,စာအုပ်များ
further,နောက်ထပ်
danny,ဒယ်နီ
action,လုပ်ဆောင်ချက်
allowed,ခွင့်ပြုသည်။
orders,အမိန့်
learned,သင်ယူခဲ့သည်။
price,စျေးနှုန်း
arrived,ရောက်လာတယ်။
nick,နစ်ခ်
otherwise,မဟုတ်ရင်
pictures,ပုံတွေ
fit,အံ
smoke,မီးခိုး
favor,မျက်နှာသာ
played,ကစားခဲ့သည်။
notice,သတိပေးချက်
awesome,အရမ်းကောင်းတယ်။
smile,ပြုံးပါ။
director,ဒါရိုက်တာ
guard,ကိုယ်ရံတော်
begin,အစ
spot,ကွက်
surprised,အံ့သြ
innocent,အပြစ်မရှိ။
narrator,ညီမလေးရေ
herself,သူကိုယ်တိုင်
london,လန်ဒန်
feelings,ခံစားချက်များ
enemy,ရန်သူ
battle,တိုက်ပွဲ
ourselves,မိမိကိုယ်ကို
alex,အဲလက်စ်
dollars,ဒေါ်လာ
allow,ခွင့်ပြုပါ။
nine,ကိုး
gay,ဂေး
department,ဌာန
guilty,အပြစ်ရှိသည်။
apart,ဖြဲ
earlier,စောစောက
duty,တာဝန်
jim,ဂျင်
suit,ဝတ်စုံ
bell,ခေါင်းလောင်း
west,အနောက်
legs,ခြေထောက်များ
hero,သူရဲကောင်း
destroy,ဖျက်ဆီး
stage,စင်မြင့်
bunch,စည်း
according,အရ၊
chicken,ကြက်သား
bigger,ပိုကြီးတယ်။
grunting,အော်ဟစ်ခြင်း။
low,နိမ့်
helping,ကူညီသည်။
admit,ဝန်ခံပါ။
closed,ပိတ်သည်။
names,နာမည်များ
witness,သက်သေ
upstairs,အပေါ်ထပ်
arm,လက်မောင်း
steal,ခိုး
jimmy,ဂျင်မီ
kick,ကန်တယ်။
twice,နှစ်ကြိမ်
cross,လက်ဝါးကပ်တိုင်
ways,နည်းလမ်းများ
sergeant,တပ်ကြပ်ကြီး
indeed,တကယ်ပါပဲ
gas,ဓာတ်ငွေ့
keeping,စောင့်ရှောက်ခြင်း။
energy,စွမ်းအင်
pregnant,ကိုယ်ဝန်
waste,အမှိုက်
helped,ကူညီခဲ့သည်။
fired,အလုပ်ဖြုတ်ခဲ့သည်။
favorite,အကြိုက်ဆုံး
tony,တိုနီ
taste,အရသာ
locked,သော့ခတ်ထားသည်။
places,နေရာများ
writing,အရေးအသား
adam,အာဒံ
brothers,ညီအစ်ကိုများ
starts,စတင်သည်။
prince,မင်းသား
form,ပုံစံ
sold,ရောင်းတယ်။
silly,ရီစရာ
mention,ဖော်ပြခြင်း။
build,တည်ဆောက်
throat,လည်ချောင်း
hole,အပေါက်
figured,ငါးဖယ်
track,တစ်ပုဒ်
ringing,မြည်သည်။
lock,သော့ခတ်
leg,ခြေထောက်
above,အထက်
hiding,ပုန်းအောင်း
steve,စတိဗ်
seemed,သလိုပဲ။
breakfast,မနက်စာ
engine,အင်ဂျင်
written,ရေးသားခဲ့သည်။
complete,ပြီးပါပြီ။
video,ဗီဒီယို
applause,လက်ခုပ်သံများ
however,သို့သော်လည်း
pressure,ဖိအား
fresh,လတ်ဆတ်သော
weapon,လက်နက်
sky,ကောင်းကင်
ms.,ဒေါ်။
stole,ခိုးတယ်။
study,လေ့လာပါ။
burn,မီးရှို့
reading,စာဖတ်ခြင်း။
crowd,လူစုလူဝေး
treat,ဆက်ဆံပါ။
roll,လိပ်
double,နှစ်ဆ
spirit,စိတ်ဝိညာဉ်
danger,အန္တရာယ်
cost,ကုန်ကျစရိတ်
empty,ဗလာ
level,အဆင့်
memory,မှတ်ဉာဏ်
itself,ကိုယ်တိုင်
acting,သရုပ်ဆောင်
interest,အကျိုးစီးပွား
nose,နှာခေါင်း
plans,အစီအစဉ်များ
following,နောက်လိုက်
bathroom,ရေချိုးခန်း
built,တည်ဆောက်ခဲ့သည်။
closer,ပိုနီးစပ်တယ်။
ray,ဓာတ်မှန်ရိုက်ခြင်း။
sarah,စာရာ
band,တီးဝိုင်း
groans,ညည်းသည်။
apparently,ညီမရဲ့
excited,စိတ်လှုပ်ရှား
losing,ရှုံးသည်။
animals,တိရစ္ဆာန်များ
flight,လေယာဉ်
nature,သဘာဝ
raise,မြှင့်
pop,ပေါ့ပ်
client,ဖောက်သည်
bomb,ဗုံး
neck,လည်ပင်း
suspect,သံသယ
warm,နွေး
extra,အပို
bottle,ပုလင်း
van,ဗင်
heavy,လေးလံ
mommy,မေမေ
dogs,ခွေးများ
wild,တော
ridiculous,ရယ်စရာကောင်းတယ်။
simply,ရိုးရှင်းစွာ
lee,လီ
animal,တိရစ္ဆာန်
showed,ပြတယ်။
billy,ဘီလီ
shooting,ရိုက်ကူး
